f1,f2,run
-3.0656338101047496,-0.06205322859674548,4
-3.7970625104450058,-0.0026414179507022297,4
-0.5359760312371457,-1.6075606748038527,4
-0.0058178389604673034,-3.700718800339437,4
-0.23600067480393416,-2.292804648443509,4
-0.032183993361479944,-3.3145880807590746,4
-3.5215385223562787,-0.015233415467773131,4
-0.00919471157754271,-3.6256384767948404,4
-0.7490311782516798,-1.2871676841163497,4
-0.21201131038014362,-2.3702238725680878,4
-0.26409250567638215,-2.2084952467703207,4
-0.5371206750181943,-1.6055799878894776,4
-1.3335636873418877,-0.7143625662095546,4
-0.9408253679012403,-1.0609792515688097,4
-0.04101010044174957,-3.2309720722801125,4
-0.12499597281512471,-2.710805191823396,4
-1.8583269877006985,-0.4055082851202454,4
-1.3189129554301011,-0.7251555296530697,4
-0.04631094874610696,-3.1855117968310327,4
-0.3904678375699508,-1.8909708079419476,4
-0.007410095087293271,-3.663082458385427,4
-0.2925343470426443,-2.1290765700841225,4
-1.820900065087526,-0.4232708594639667,4
-0.5993745212517536,-1.5026032445785702,4
-0.04684482650084155,-3.181098198431483,4
-0.11866087329704537,-2.7407733696332937,4
-0.0014423066101716788,-3.849531458535563,4
-1.4636824585099406,-0.6243726589456422,4
-0.8796864360771706,-1.128022408310994,4
-0.14953322184077303,-2.6027521935590165,4
-0.11187787573255353,-2.773951864429665,4
-0.6846241642742263,-1.3749434200954738,5
-2.4220254774011383,-0.19688229523912376,5
-0.000207069599200177,-3.9426474171749297,5
-2.5193112706061993,-0.17037590082181403,5
-0.11684033808770047,-2.7495636984118783,5
-0.20557707378710027,-2.3919527519956207,5
-2.9646468774344696,-0.07738689693776166,5
-1.1028624532796871,-0.9021721228131585,5
-6.49977811906894e-05,-3.9678165172115416,5
-1.6167972979557117,-0.530663523929375,5
-0.5985666661834615,-1.5038830540939503,5
-1.0977220067202416,-0.9068328280943183,5
-0.018918443751661,-3.4687411086799806,5
-0.20126518740951513,-2.4067616352948247,5
-3.7622475047227826,-0.0036419550402546495,5
-3.8734224908585877,-0.0010175308900392302,5
-3.7411973523437294,-0.004327336794827183,5
-0.13321527753476667,-2.673268552288853,5
-0.5784549570373952,-1.5362059020456242,5
-0.0069531117246211405,-3.6734118285317634,5
-2.585642884954479,-0.15366914750252444,5
-3.473794015834233,-0.01854725577674127,5
-2.1728552956733127,-0.2766120229806905,5
-0.9804220580722721,-1.0197714891434309,5
-1.1025791983522848,-0.9024283470569938,5
-1.3475797179342142,-0.7041676656877816,5
-0.7918184298548351,-1.2324512279947402,5
-0.8049543535233414,-1.2161844171282172,5
-0.6298278176515498,-1.4553601327593573,5
-0.061402703079105,-3.0702199503711696,5
-1.1208514283024817,-0.886040588035858,5
-0.27456796108137893,-2.178598644201463,5
-0.0034729257552252903,-3.7677467878671993,5
-1.3447367947505757,-0.7062253184244459,5
-0.052936043851839344,-3.1326226724236994,5
-0.6529088888119398,-1.4207977798011378,5
-1.0457152047652396,-0.9553065117073156,5
-1.8405294629537252,-0.4138848820677056,5
-1.278817296061546,-0.7554251245839572,5
-0.48504654466614966,-1.69923522394495,5
-0.010074102163827895,-3.6085947943268657,5
-0.9098114623324277,-1.0944499594969699,5
-0.49288640892370694,-1.6846516354798429,5
-0.0069531117246211405,-3.6734118285317634,5
-1.175843037266938,-0.8383911820562076,5
-0.9985834239202291,-1.001417580134952,5
-0.21213318855633087,-2.369816435958859,5
-0.25642673551285255,-2.2308829151511107,5
-1.0125824180257135,-0.9874962464746726,5
-0.25642673551285255,-2.2308829151511107,5
-1.03590693390853,-0.9647263996486599,6
-0.8765740472157315,-1.1315527181106884,6
-0.0014260319480874945,-3.850374679192146,6
-0.8475039593639495,-1.165104829744349,6
-0.7374869988334082,-1.302404469790688,6
-0.01233509241931535,-3.568081247518626,6
-0.30638907637311463,-2.092292144897477,6
-1.4578491172733963,-0.6281922064385966,6
-1.087290461307252,-0.9163616221976667,6
-0.5096925713665567,-1.653982302122685,6
-0.15955445605417684,-2.5617837288010987,6
-0.3293527923773178,-2.0337821273711008,6
-2.7079679984108393,-0.1256061142105009,6
-0.4697670419221468,-1.728184894556442,6
-2.3906562326837975,-0.20595739418399878,6
-1.2628420220603722,-0.7677922611605048,6
-0.429302182037851,-1.8084559613286664,6
-0.024931290066763832,-3.393345475574211,6
-0.16068182789541943,-2.5572763126477294,6
-0.0128799407837149,-3.5589206336432637,6
-0.6632462895767101,-1.4056489183186596,6
-0.35343403092432607,-1.9754213112802075,6
-1.1049560854168317,-0.9002804300696435,6
-0.8813349378936962,-1.1261573114292516,6
-1.0697671931484445,-0.9325851702764617,6
-0.9518797267991396,-1.0493067769638347,6
-1.2941495090480462,-0.7437218209324842,6
-0.0506825911551715,-3.1501708152839485,6
-0.9933387174114329,-1.006683543135267,6
-0.03277762648442446,-3.30859393172819,6
-0.07463533607915447,-2.981856594857277,6
-4.089933152360617,-0.0004998942287550186,6
-0.1737213358370196,-2.5065256744366207,6
-0.3525732921828071,-1.977457994997234,6
-0.8273207348215303,-1.1890338086508516,6
-0.03003555719078511,-3.336804776676416,6
-0.02245431820466165,-3.4230637182828856,6
-0.15231314623105235,-2.591220471308504,6
-0.9547191092481635,-1.0463299592311623,6
-0.7561587540612186,-1.277863185110889,6
-1.1567358128358132,-0.8546696806880273,6
-0.6160169483057156,-1.4765470610649654,6
-0.2900274914857565,-2.135859470236693,6
-1.054318695889572,-0.9471178079084214,6
-2.178676513220725,-0.2745403180155704,6
-0.0128799407837149,-3.5589206336432637,6
-0.005224293228778134,-3.7161072033491758,6
-1.1204073879168603,-0.8864354694141212,6
-0.6044545130671489,-1.4945876012726296,6
-0.06812587840369556,-3.0240884966691484,6
-0.0018819191429624044,-3.8283575511498804,7
-1.1839649071080456,-0.8315588468089001,7
-0.0007518234097707699,-3.891074229725681,7
-2.4001959864591225,-0.20316962026170576,7
-0.07096338581843455,-3.0054052348501483,7
-1.869236825533666,-0.4004353838520743,7
-1.2057409481061723,-0.8134915050873953,7
-1.7078601540718934,-0.48045520848461915,7
-0.076133333432943,-2.9724425547602715,7
-0.336247603383034,-2.0167731684886667,7
-0.9171327269055364,-1.086450851509384,7
-0.9527782730090759,-1.0483638011394187,7
-0.746321535880465,-1.2907254116079192,7
-1.6619987744574762,-0.5052575174891164,7
-0.5743614710820878,-1.5428958952733496,7
-0.9891033810854559,-1.0109563127422938,7
-0.6531407198079136,-1.4204558423528566,7
-0.3760775867791866,-1.9230709849806944,7
-0.0656014876590443,-3.04108999307018,7
-1.9397790091617684,-0.3687410316760383,7
-0.5221012383629695,-1.6318383067583877,7
-1.5528476223165473,-0.568315351675223,7
-3.805258139070983,-0.0024297912771057673,7
-0.2939346189674992,-2.125305120071944,7
-2.26639504192984,-0.24457466343319806,7
-0.16150015877654866,-2.5540168647965524,7
-1.3343530093587124,-0.7137850626946448,7
-0.7070384404311602,-1.3436153259689665,7
-2.4100003407675903,-0.20033002324819363,7
-1.7982069891122558,-0.43431737188521097,7
-0.06630086606743822,-3.0363426838682717,7
-0.22708494668231247,-2.3209477147609068,7
-0.32518653819303606,-2.044181362598606,7
-0.23876221601022732,-2.2842301860440677,7
-0.023831010666491646,-3.4063391721262026,7
-3.1488292349569593,-0.05085292059021236,7
-3.594316573431057,-0.010843413005359806,7
-0.9178827658600421,-1.085634828452981,7
-0.07501699905889773,-2.9794477475086527,7
-0.9184534408087253,-1.085014377390656,7
-0.7134291741505657,-1.33483970716748,7
-0.3166772975593165,-2.0657137792078832,7
-0.9367990967202909,-1.0652638008041275,7
-0.2592194617626689,-2.2226754803562514,7
-0.47501215626713833,-1.7181671297423948,7
-0.8498393818657053,-1.1623700450642065,7
-0.11164297760017501,-2.7751222551260337,7
-0.5980507804780592,-1.504701060894296,7
-0.8808784773103727,-1.1266734167195207,7
-0.0659507133256487,-3.038715874931633,7
-0.16280027848754652,-2.5488596179300576,8
-0.004747933280299348,-3.7291269390059343,8
-0.1321052244995667,-2.678253928117069,8
-0.8778866708221957,-1.1300624042436342,8
-0.01850941108188152,-3.474312225026951,8
-0.0050468560243091065,-3.720881945472451,8
-3.3924562235640425,-0.025007575828200977,8
-1.0261853235974122e-05,-3.987196610860034,8
-0.0792463377358792,-2.9532172955819624,8
-0.41479524464951445,-1.8386112616249652,8
-0.5237738740745379,-1.628884932302746,8
